Density	Noise	OP	stdev
4.00	0.00	1.000	0.000
4.00	0.25	0.994	0.000
4.00	0.50	0.983	0.000
4.00	0.75	0.951	0.000
4.00	1.00	0.929	0.000
4.00	1.25	0.901	0.000
4.00	1.50	0.826	0.001
4.00	1.75	0.796	0.005
4.00	2.00	0.772	0.000
4.00	2.25	0.568	0.009
4.00	2.50	0.629	0.007
4.00	2.75	0.554	0.004
4.00	3.00	0.465	0.006
4.00	3.25	0.364	0.004
4.00	3.50	0.317	0.002
4.00	3.75	0.212	0.003
4.00	4.00	0.132	0.004
4.00	4.25	0.091	0.002
4.00	4.50	0.035	0.000
4.00	4.75	0.030	0.000
4.00	5.00	0.028	0.000
4.00	5.25	0.021	0.000
4.00	5.50	0.023	0.000
4.00	5.75	0.013	0.000
4.00	6.00	0.014	0.000
