Density	Noise	OP	stdev
0.25	2.50	0.383	0.024
0.50	2.50	0.547	0.005
0.75	2.50	0.359	0.032
1.00	2.50	0.681	0.002
1.25	2.50	0.683	0.014
1.50	2.50	0.675	0.002
1.75	2.50	0.711	0.001
2.00	2.50	0.647	0.041
2.25	2.50	0.740	0.001
2.50	2.50	0.772	0.001
2.75	2.50	0.718	0.001
3.00	2.50	0.749	0.001
3.25	2.50	0.750	0.000
3.50	2.50	0.803	0.001
3.75	2.50	0.760	0.002
4.00	2.50	0.745	0.001
4.25	2.50	0.733	0.002
4.50	2.50	0.697	0.002
4.75	2.50	0.766	0.000
5.00	2.50	0.762	0.002
5.25	2.50	0.784	0.000
5.50	2.50	0.761	0.001
5.75	2.50	0.753	0.000
6.00	2.50	0.747	0.000
6.25	2.50	0.766	0.001
6.50	2.50	0.771	0.001
6.75	2.50	0.785	0.000
7.00	2.50	0.759	0.001
7.25	2.50	0.752	0.001
7.50	2.50	0.744	0.002
7.75	2.50	0.774	0.000
8.00	2.50	0.811	0.002
8.25	2.50	0.748	0.002
8.50	2.50	0.752	0.002
8.75	2.50	0.768	0.002
9.00	2.50	0.782	0.002
9.25	2.50	0.779	0.000
9.50	2.50	0.779	0.000
9.75	2.50	0.799	0.001
10.00	2.50	0.762	0.001
